frame,timestamp,hand_index,hand_label,landmark_index,landmark_name,x,y,z,left_hand_present,right_hand_present
0,0.0,0,Right,0,WRIST,0.7592348456382751,0.7164531350135803,1.6098231014893827e-07,False,True
0,0.0,0,Right,1,THUMB_CMC,0.7687110900878906,0.728232741355896,-0.03405911102890968,False,True
0,0.0,0,Right,2,THUMB_MCP,0.775063693523407,0.7507306933403015,-0.04516080021858215,False,True
0,0.0,0,Right,3,THUMB_IP,0.7694122195243835,0.7710885405540466,-0.05067367106676102,False,True
0,0.0,0,Right,4,THUMB_TIP,0.7590732574462891,0.7869101166725159,-0.05314527451992035,False,True
0,0.0,0,Right,5,INDEX_FINGER_MCP,0.7981778979301453,0.7778782844543457,-0.019442081451416016,False,True
0,0.0,0,Right,6,INDEX_FINGER_PIP,0.7753847241401672,0.8044007420539856,-0.03701949864625931,False,True
0,0.0,0,Right,7,INDEX_FINGER_DIP,0.7455855011940002,0.8041597604751587,-0.05178834870457649,False,True
0,0.0,0,Right,8,INDEX_FINGER_TIP,0.7217285633087158,0.7970301508903503,-0.059012994170188904,False,True
0,0.0,0,Right,9,MIDDLE_FINGER_MCP,0.7816058993339539,0.7773427963256836,-0.0055404906161129475,False,True
0,0.0,0,Right,10,MIDDLE_FINGER_PIP,0.7546167373657227,0.7994251847267151,-0.023463904857635498,False,True
0,0.0,0,Right,11,MIDDLE_FINGER_DIP,0.7251232862472534,0.7962070107460022,-0.039194632321596146,False,True
0,0.0,0,Right,12,MIDDLE_FINGER_TIP,0.7019429206848145,0.7877747416496277,-0.04654814302921295,False,True
0,0.0,0,Right,13,RING_FINGER_MCP,0.7628980875015259,0.7741098403930664,0.004749728366732597,False,True
0,0.0,0,Right,14,RING_FINGER_PIP,0.7399324178695679,0.7925633788108826,-0.012244765646755695,False,True
0,0.0,0,Right,15,RING_FINGER_DIP,0.7158321142196655,0.7906695604324341,-0.02521284855902195,False,True
0,0.0,0,Right,16,RING_FINGER_TIP,0.6965320706367493,0.7829573154449463,-0.03017725795507431,False,True
0,0.0,0,Right,17,PINKY_MCP,0.7457074522972107,0.7689496278762817,0.012580928392708302,False,True
0,0.0,0,Right,18,PINKY_PIP,0.7292870283126831,0.7829254269599915,-0.0016954537713900208,False,True
0,0.0,0,Right,19,PINKY_DIP,0.71258944272995,0.7818864583969116,-0.009914831258356571,False,True
0,0.0,0,Right,20,PINKY_TIP,0.6986371278762817,0.7757253646850586,-0.01225782185792923,False,True
0,0.0,1,Left,0,WRIST,0.1224750429391861,0.7169436812400818,-1.2093465784346336e-07,False,True
0,0.0,1,Left,1,THUMB_CMC,0.17063118517398834,0.7263650298118591,-0.009423351846635342,False,True
0,0.0,1,Left,2,THUMB_MCP,0.1904924064874649,0.7498666644096375,-0.011065716855227947,False,True
0,0.0,1,Left,3,THUMB_IP,0.19390374422073364,0.7723416686058044,-0.008964603766798973,False,True
0,0.0,1,Left,4,THUMB_TIP,0.20292547345161438,0.7896682024002075,-0.0038140001706779003,False,True
0,0.0,1,Left,5,INDEX_FINGER_MCP,0.15555012226104736,0.7705835103988647,-0.013994396664202213,False,True
0,0.0,1,Left,6,INDEX_FINGER_PIP,0.16929326951503754,0.7996283769607544,-0.00993642769753933,False,True
0,0.0,1,Left,7,INDEX_FINGER_DIP,0.1840403825044632,0.8072814345359802,-0.0016744479071348906,False,True
0,0.0,1,Left,8,INDEX_FINGER_TIP,0.1941099464893341,0.8066647052764893,0.006534393411129713,False,True
0,0.0,1,Left,9,MIDDLE_FINGER_MCP,0.12479838728904724,0.7722976207733154,-0.006469131913036108,False,True
0,0.0,1,Left,10,MIDDLE_FINGER_PIP,0.13988234102725983,0.8019912838935852,-0.0005747372633777559,False,True
0,0.0,1,Left,11,MIDDLE_FINGER_DIP,0.159393310546875,0.8059923052787781,0.009284252300858498,False,True
0,0.0,1,Left,12,MIDDLE_FINGER_TIP,0.171627014875412,0.8027281761169434,0.01819125935435295,False,True
0,0.0,1,Left,13,RING_FINGER_MCP,0.10484370589256287,0.7698488235473633,0.0016094105085358024,False,True
0,0.0,1,Left,14,RING_FINGER_PIP,0.11904488503932953,0.7955668568611145,0.007236569654196501,False,True
0,0.0,1,Left,15,RING_FINGER_DIP,0.13778148591518402,0.8005905747413635,0.016560662537813187,False,True
0,0.0,1,Left,16,RING_FINGER_TIP,0.15010595321655273,0.7989664077758789,0.02430310845375061,False,True
0,0.0,1,Left,17,PINKY_MCP,0.09371848404407501,0.7658591270446777,0.00925511121749878,False,True
0,0.0,1,Left,18,PINKY_PIP,0.1036587730050087,0.786363422870636,0.015295030549168587,False,True
0,0.0,1,Left,19,PINKY_DIP,0.12030129879713058,0.7941234707832336,0.023393653333187103,False,True
0,0.0,1,Left,20,PINKY_TIP,0.1335911899805069,0.7946649193763733,0.030851686373353004,False,True
1,0.03333333333333333,0,Right,0,WRIST,0.7627516388893127,0.7112858295440674,1.842835644083607e-07,False,True
1,0.03333333333333333,0,Right,1,THUMB_CMC,0.7718721032142639,0.7265684604644775,-0.03393326327204704,False,True
1,0.03333333333333333,0,Right,2,THUMB_MCP,0.7773215770721436,0.7506986856460571,-0.043031856417655945,False,True
1,0.03333333333333333,0,Right,3,THUMB_IP,0.7723025679588318,0.772571325302124,-0.04713010415434837,False,True
1,0.03333333333333333,0,Right,4,THUMB_TIP,0.7636111974716187,0.789244532585144,-0.048490289598703384,False,True
1,0.03333333333333333,0,Right,5,INDEX_FINGER_MCP,0.7951720952987671,0.7748520970344543,-0.01209564320743084,False,True
