frame,timestamp,hand_index,hand_label,landmark_index,landmark_name,x,y,z,left_hand_present,right_hand_present
0,0.0,0,Left,0,WRIST,0.16940991580486298,0.7525603175163269,-1.4534239767272084e-07,False,True
0,0.0,0,Left,1,THUMB_CMC,0.19836930930614471,0.7645248174667358,-0.030392497777938843,False,True
0,0.0,0,Left,2,THUMB_MCP,0.2039221078157425,0.7877628207206726,-0.033185672014951706,False,True
0,0.0,0,Left,3,THUMB_IP,0.210670605301857,0.8076032400131226,-0.02903849072754383,False,True
0,0.0,0,Left,4,THUMB_TIP,0.2164584994316101,0.8233823180198669,-0.020811017602682114,False,True
0,0.0,0,Left,5,INDEX_FINGER_MCP,0.1611587405204773,0.807897686958313,-0.0072083366103470325,False,True
0,0.0,0,Left,6,INDEX_FINGER_PIP,0.1845991164445877,0.8314886093139648,-0.004067262168973684,False,True
0,0.0,0,Left,7,INDEX_FINGER_DIP,0.20234142243862152,0.8244849443435669,-0.0019276129314675927,False,True
0,0.0,0,Left,8,INDEX_FINGER_TIP,0.2023758441209793,0.8146045804023743,0.0010399550665169954,False,True
0,0.0,0,Left,9,MIDDLE_FINGER_MCP,0.15204845368862152,0.8062397837638855,0.013136311434209347,False,True
0,0.0,0,Left,10,MIDDLE_FINGER_PIP,0.17517471313476562,0.8278629183769226,0.0164283849298954,False,True
0,0.0,0,Left,11,MIDDLE_FINGER_DIP,0.19490772485733032,0.8206821084022522,0.015140253119170666,False,True
0,0.0,0,Left,12,MIDDLE_FINGER_TIP,0.1967090219259262,0.8135697841644287,0.01576753705739975,False,True
0,0.0,0,Left,13,RING_FINGER_MCP,0.15145328640937805,0.8021167516708374,0.03086562640964985,False,True
0,0.0,0,Left,14,RING_FINGER_PIP,0.1743995100259781,0.8214582204818726,0.029050851240754128,False,True
0,0.0,0,Left,15,RING_FINGER_DIP,0.1916177123785019,0.8164119720458984,0.024324655532836914,False,True
0,0.0,0,Left,16,RING_FINGER_TIP,0.19127178192138672,0.8098010420799255,0.023201754316687584,False,True
0,0.0,0,Left,17,PINKY_MCP,0.15543492138385773,0.7994349598884583,0.04707891121506691,False,True
0,0.0,0,Left,18,PINKY_PIP,0.17775261402130127,0.8162957429885864,0.044343963265419006,False,True
0,0.0,0,Left,19,PINKY_DIP,0.19091816246509552,0.8130204081535339,0.04232390969991684,False,True
0,0.0,0,Left,20,PINKY_TIP,0.19003422558307648,0.8055046200752258,0.043130721896886826,False,True
0,0.0,1,Right,0,WRIST,0.8807438611984253,0.7247028350830078,-5.857427609612387e-08,False,True
0,0.0,1,Right,1,THUMB_CMC,0.8329601883888245,0.7364450097084045,-0.0039006266742944717,False,True
0,0.0,1,Right,2,THUMB_MCP,0.8178966641426086,0.7569903135299683,-0.002351103350520134,False,True
0,0.0,1,Right,3,THUMB_IP,0.8151602745056152,0.7755120396614075,-0.0005691847763955593,False,True
0,0.0,1,Right,4,THUMB_TIP,0.8135749697685242,0.7881045341491699,0.00306870904751122,False,True
0,0.0,1,Right,5,INDEX_FINGER_MCP,0.8658760190010071,0.7801945209503174,0.0030142103787511587,False,True
0,0.0,1,Right,6,INDEX_FINGER_PIP,0.8504401445388794,0.8001814484596252,0.0015396681847050786,False,True
0,0.0,1,Right,7,INDEX_FINGER_DIP,0.831862211227417,0.7935091257095337,-0.0008300005574710667,False,True
0,0.0,1,Right,8,INDEX_FINGER_TIP,0.8273676633834839,0.7846994400024414,-0.001866967068053782,False,True
0,0.0,1,Right,9,MIDDLE_FINGER_MCP,0.8898935317993164,0.777073085308075,0.004324714653193951,False,True
0,0.0,1,Right,10,MIDDLE_FINGER_PIP,0.8665903210639954,0.794175922870636,0.004859198350459337,False,True
0,0.0,1,Right,11,MIDDLE_FINGER_DIP,0.8482998013496399,0.7869128584861755,0.00284351734444499,False,True
0,0.0,1,Right,12,MIDDLE_FINGER_TIP,0.8469357490539551,0.7781943678855896,0.0010860433103516698,False,True
0,0.0,1,Right,13,RING_FINGER_MCP,0.9055054187774658,0.769767701625824,0.005067670717835426,False,True
0,0.0,1,Right,14,RING_FINGER_PIP,0.88274747133255,0.7844830751419067,0.005030972417443991,False,True
0,0.0,1,Right,15,RING_FINGER_DIP,0.8659713864326477,0.7790176868438721,0.005835460964590311,False,True
0,0.0,1,Right,16,RING_FINGER_TIP,0.8640088438987732,0.7714384198188782,0.005958454683423042,False,True
0,0.0,1,Right,17,PINKY_MCP,0.9157754778862,0.7616361379623413,0.005535618867725134,False,True
0,0.0,1,Right,18,PINKY_PIP,0.8953654766082764,0.7744219303131104,0.00607275078073144,False,True
0,0.0,1,Right,19,PINKY_DIP,0.8815102577209473,0.771047830581665,0.009646688587963581,False,True
0,0.0,1,Right,20,PINKY_TIP,0.8789048790931702,0.7643645405769348,0.01250323373824358,False,True
