frame,timestamp,hand_index,hand_label,landmark_index,landmark_name,x,y,z,left_hand_present,right_hand_present
0,0.0,0,Right,0,WRIST,0.8558061718940735,0.6946235299110413,1.8006973334649956e-07,False,True
0,0.0,0,Right,1,THUMB_CMC,0.7969355583190918,0.6899821758270264,-0.019749730825424194,False,True
0,0.0,0,Right,2,THUMB_MCP,0.7493624687194824,0.7015330791473389,-0.034137506037950516,False,True
0,0.0,0,Right,3,THUMB_IP,0.719516932964325,0.7208255529403687,-0.04296229034662247,False,True
0,0.0,0,Right,4,THUMB_TIP,0.6921727657318115,0.733420193195343,-0.04909130558371544,False,True
0,0.0,0,Right,5,INDEX_FINGER_MCP,0.7965798377990723,0.7228073477745056,-0.046871084719896317,False,True
0,0.0,0,Right,6,INDEX_FINGER_PIP,0.7491031885147095,0.7512595057487488,-0.06120157241821289,False,True
0,0.0,0,Right,7,INDEX_FINGER_DIP,0.7276213765144348,0.7492488026618958,-0.06282421201467514,False,True
0,0.0,0,Right,8,INDEX_FINGER_TIP,0.7241237163543701,0.7412103414535522,-0.06038021296262741,False,True
0,0.0,0,Right,9,MIDDLE_FINGER_MCP,0.8261386752128601,0.7371066212654114,-0.03936484083533287,False,True
0,0.0,0,Right,10,MIDDLE_FINGER_PIP,0.767206609249115,0.7644121646881104,-0.04974113777279854,False,True
0,0.0,0,Right,11,MIDDLE_FINGER_DIP,0.746876060962677,0.7573629021644592,-0.04675479978322983,False,True
0,0.0,0,Right,12,MIDDLE_FINGER_TIP,0.7496370077133179,0.7473955750465393,-0.043786659836769104,False,True
0,0.0,0,Right,13,RING_FINGER_MCP,0.8478105068206787,0.746703565120697,-0.03107268176972866,False,True
0,0.0,0,Right,14,RING_FINGER_PIP,0.7912645936012268,0.7709171175956726,-0.036978982388973236,False,True
0,0.0,0,Right,15,RING_FINGER_DIP,0.7721734642982483,0.7632908821105957,-0.030827680602669716,False,True
0,0.0,0,Right,16,RING_FINGER_TIP,0.7758994698524475,0.7533015608787537,-0.02685236930847168,False,True
0,0.0,0,Right,17,PINKY_MCP,0.8622428178787231,0.7524082064628601,-0.02362477220594883,False,True
