frame,timestamp,hand_index,hand_label,landmark_index,x,y,z
0,0.0,0,Right,0,0.7552447319030762,0.6377772092819214,-1.128200111111255e-07
0,0.0,0,Right,1,0.7181078195571899,0.6153112053871155,-0.011093600653111935
0,0.0,0,Right,2,0.6645918488502502,0.6135772466659546,-0.019266949966549873
0,0.0,0,Right,3,0.6204659342765808,0.6211426258087158,-0.024230072274804115
0,0.0,0,Right,4,0.5880833268165588,0.6270877718925476,-0.02795206382870674
0,0.0,0,Right,5,0.6833558082580566,0.6263861060142517,-0.03924563527107239
0,0.0,0,Right,6,0.6266587376594543,0.636447012424469,-0.05585582181811333
0,0.0,0,Right,7,0.6347664594650269,0.6335822939872742,-0.05995858088135719
0,0.0,0,Right,8,0.6541770696640015,0.629726231098175,-0.05888257920742035
0,0.0,0,Right,9,0.6967079043388367,0.6462201476097107,-0.03729795664548874
0,0.0,0,Right,10,0.6336484551429749,0.6546729803085327,-0.04877147823572159
0,0.0,0,Right,11,0.6427057385444641,0.6499157547950745,-0.04640450328588486
0,0.0,0,Right,12,0.6638619303703308,0.6460362672805786,-0.043977148830890656
0,0.0,0,Right,13,0.707763671875,0.6634808778762817,-0.03480338305234909
0,0.0,0,Right,14,0.649573564529419,0.6700677275657654,-0.04112359881401062
0,0.0,0,Right,15,0.6593908667564392,0.6633384823799133,-0.031071262434124947
0,0.0,0,Right,16,0.6773853302001953,0.6588631272315979,-0.024423610419034958
0,0.0,0,Right,17,0.7169544696807861,0.6775901913642883,-0.032699353992938995
0,0.0,0,Right,18,0.6687227487564087,0.6806017160415649,-0.035034485161304474
0,0.0,0,Right,19,0.6758232116699219,0.6748247146606445,-0.02653799019753933
0,0.0,0,Right,20,0.6913678646087646,0.6715809106826782,-0.02064516767859459
0,0.0,1,Left,0,0.27745750546455383,0.6291996240615845,-2.575490896106203e-07
0,0.0,1,Left,1,0.2800336480140686,0.6074689030647278,-0.03481333702802658
0,0.0,1,Left,2,0.3036281168460846,0.5891392230987549,-0.05751940235495567
0,0.0,1,Left,3,0.3389608860015869,0.5815486311912537,-0.06975346803665161
0,0.0,1,Left,4,0.3671511709690094,0.5829656720161438,-0.0790834128856659
0,0.0,1,Left,5,0.3073415160179138,0.6262655854225159,-0.08703181147575378
0,0.0,1,Left,6,0.36511069536209106,0.6067536473274231,-0.1019551008939743
0,0.0,1,Left,7,0.3814862370491028,0.5940790772438049,-0.09773363173007965
0,0.0,1,Left,8,0.384706050157547,0.5866270661354065,-0.09260497242212296
0,0.0,1,Left,9,0.3301713168621063,0.6416969895362854,-0.07330106198787689
0,0.0,1,Left,10,0.3904891312122345,0.6141021847724915,-0.08682062476873398
0,0.0,1,Left,11,0.3985426425933838,0.5972651839256287,-0.07936768233776093
